X,Y,ADDRESS,CITY,STATE,ZIP,PM_2.5[ug/m3],O3[ppb],NO2[ppb],SO2[ppb],CO[ppm],TEMP[F],HUMIDITY[%]
-122.3232189,47.7342302,501 NE 145TH ST,SEATTLE,WA,98155,0.6761927282324347,8.282007792871742,99.92986584999832,67.63636283183828,4.309505076129864,88.11448738928792,29.015692138407474
-122.3612994,47.7339105,14425 3RD AVE NW,SEATTLE,WA,98177,5.041756959595521,32.91879218065196,19.195880315967916,417.4338616451314,6.1544745818044095,98.99410690413052,20.695465536825747
-122.3560953,47.73370334,14411 GREENWOOD AVE N,SEATTLE,WA,98133,12.447660287381051,130.6832752223889,29.170319981394954,61.21719700405106,11.400288354765165,54.07230325761611,37.799191081494264
-122.3560953,47.73370334,14413 GREENWOOD AVE N,SEATTLE,WA,98133,221.0078706603058,90.1463254704711,1419.7867079984078,627.1442959077378,15.879441352080427,78.03635234058572,45.61142459508596
-122.3560953,47.73370334,14415 GREENWOOD AVE N,SEATTLE,WA,98133,3.808328957629111,23.2914641636175,499.5286944751339,14.680268148670306,0.5316936153136064,87.47931852459304,34.80223017514637
-122.3560953,47.73370334,14419 GREENWOOD AVE N,SEATTLE,WA,98133,10.255343905105786,167.5013693535183,26.887110560641844,304.19127624748427,0.674710452900654,73.02055154799912,28.959706137211793
-122.3586761,47.7338851,14420 1ST AVE NW,SEATTLE,WA,98177,247.34439742681448,38.80450870706448,34.34745576768008,110.46009363406615,32.29844229310301,75.77134541794652,41.700479607163494
-122.3583314,47.73388158,115 N 145TH ST,SEATTLE,WA,98133,16.204787910874543,118.43209035756854,578.7970355324472,742.1449317284911,8.674981237116194,83.35595256125097,44.930035909854226
-122.3583314,47.73388158,115 NW 145TH ST,SEATTLE,WA,98177,320.1451559294531,52.30699784317878,730.5065539140013,11.302641586263551,47.91263493681769,66.19558076841031,43.355766014073524
-122.3580484,47.73383347,123 N 145TH ST,SEATTLE,WA,98133,13.928716644271638,4.383633483477882,42.19653553533376,55.34436628567167,5.837469224716793,55.03836402617258,43.64109964706438
-122.3580484,47.73383347,123 NW 145TH ST,SEATTLE,WA,98177,15.23460513085345,24.659466358514724,3.7082625949159844,331.0748082029835,4.540790827272316,97.53135554833848,27.146361189537497
